rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
220,frame_0091.jpg,36.4,0.3455,0.413,0.25,0.32,6,2,False,False
221,frame_0109.jpg,43.6,0.3435,0.43,0.375,0.08,7,3,False,False
222,frame_0211.jpg,84.4,0.3416,0.3521,0.125,0.64,3,1,False,False
223,frame_0118.jpg,47.2,0.338,0.35,0.25,0.44,6,2,False,False
224,frame_0223.jpg,89.2,0.3319,0.4499,0.25,0.16,6,2,False,False
225,frame_0273.jpg,109.2,0.3303,0.4625,0.25,0.12,7,2,False,False
226,frame_0082.jpg,32.8,0.328,0.309,0.125,0.68,5,1,False,False
227,frame_0197.jpg,78.8,0.3238,0.4126,0.125,0.4,1,1,False,False
228,frame_0022.jpg,8.8,0.3235,0.247,0.0,1.0,5,0,False,False
229,frame_0282.jpg,112.8,0.3225,0.453,0.0,0.48,6,0,False,False
230,frame_0324.jpg,129.6,0.3207,0.3845,0.375,0.08,6,3,False,False
231,frame_0085.jpg,34.0,0.3203,0.3416,0.125,0.56,3,1,False,False
232,frame_0100.jpg,40.0,0.3199,0.5488,0.125,0.04,6,1,False,False
233,frame_0220.jpg,88.0,0.3189,0.3758,0.25,0.28,5,2,False,False
234,frame_0325.jpg,130.0,0.3182,0.4705,0.25,0.04,6,2,False,False
235,frame_0196.jpg,78.4,0.3151,0.4862,0.0,0.36,3,0,False,False
236,frame_0271.jpg,108.4,0.3151,0.4642,0.25,0.04,5,2,False,False
237,frame_0394.jpg,157.6,0.3099,0.4378,0.25,0.08,7,2,False,False
238,frame_0181.jpg,72.4,0.3083,0.3756,0.375,0.04,6,3,False,False
239,frame_0372.jpg,148.8,0.3058,0.4135,0.25,0.12,8,2,False,False
240,frame_0214.jpg,85.6,0.3053,0.3276,0.125,0.52,5,1,False,False
241,frame_0323.jpg,129.2,0.3018,0.4056,0.25,0.12,7,2,False,False
242,frame_0272.jpg,108.8,0.2994,0.4167,0.25,0.08,4,2,False,False
243,frame_0399.jpg,159.6,0.2992,0.4114,0.125,0.28,7,1,False,False
244,frame_0313.jpg,125.2,0.2905,0.415,0.25,0.04,4,2,False,False
245,frame_0382.jpg,152.8,0.2905,0.324,0.375,0.08,9,3,False,False
246,frame_0093.jpg,37.2,0.2879,0.3299,0.25,0.24,6,2,False,False
247,frame_0198.jpg,79.2,0.2725,0.3689,0.0,0.44,3,0,False,False
248,frame_0192.jpg,76.8,0.2617,0.3683,0.125,0.2,6,1,False,False
249,frame_0101.jpg,40.4,0.2561,0.3302,0.25,0.08,6,2,False,False
250,frame_0224.jpg,89.6,0.2299,0.4118,0.0,0.12,5,0,False,False
251,frame_0310.jpg,124.0,0.2172,0.3273,0.125,0.08,5,1,False,False
252,frame_0221.jpg,88.4,0.2156,0.2602,0.125,0.24,5,1,False,False
253,frame_0190.jpg,76.0,0.215,0.2321,0.25,0.12,6,2,False,False
254,frame_0217.jpg,86.8,0.2055,0.251,0.0,0.4,5,0,False,False
255,frame_0102.jpg,40.8,0.1739,0.2997,0.0,0.12,6,0,False,False
256,frame_0110.jpg,44.0,0.166,0.209,0.125,0.12,4,1,False,False
